dataset,metric,value,fecha,conteo,facultad,carrera,campo,categoria,familiaridad,confianza
resumen,total_respuestas,5.0,,,,,,,,
resumen,facultades_unicas,1.0,,,,,,,,
resumen,carreras_unicas,1.0,,,,,,,,
edad_stats,edad_min,18.0,,,,,,,,
edad_stats,edad_max,18.0,,,,,,,,
edad_stats,edad_promedio,18.0,,,,,,,,
por_fecha,,,2025-10-22,2.0,,,,,,
por_fecha,,,2025-10-24,3.0,,,,,,
por_facultad,,,,5.0,ingenierias,,,,,
por_carrera,,,,5.0,,tecnologia_desarrollo_software,,,,
freq_simple,,,,0.0,,,familiaridad,nada,,
freq_simple,,,,0.0,,,familiaridad,poco,,
freq_simple,,,,2.0,,,familiaridad,algo,,
freq_simple,,,,2.0,,,familiaridad,bastante,,
freq_simple,,,,1.0,,,familiaridad,muy,,
freq_simple,,,,2.0,,,definicion,razonamiento,,
freq_simple,,,,1.0,,,definicion,reglas,,
freq_simple,,,,1.0,,,definicion,aprendizaje,,
freq_simple,,,,1.0,,,definicion,creatividad,,
freq_simple,,,,0.0,,,frecuencia,nunca,,
freq_simple,,,,0.0,,,frecuencia,mensual,,
freq_simple,,,,1.0,,,frecuencia,semanal,,
freq_simple,,,,2.0,,,frecuencia,varios_dias_semana,,
freq_simple,,,,2.0,,,frecuencia,diaria,,
freq_simple,,,,0.0,,,confianza,nada,,
freq_simple,,,,0.0,,,confianza,poca,,
freq_simple,,,,2.0,,,confianza,regular,,
freq_simple,,,,1.0,,,confianza,bastante,,
freq_simple,,,,2.0,,,confianza,total,,
freq_simple,,,,0.0,,,percepcion_social,muy_negativo,,
freq_simple,,,,2.0,,,percepcion_social,negativo,,
freq_simple,,,,1.0,,,percepcion_social,neutro,,
freq_simple,,,,1.0,,,percepcion_social,positivo,,
freq_simple,,,,1.0,,,percepcion_social,muy_positivo,,
freq_simple,,,,0.0,,,regulacion,estricta,,
freq_simple,,,,4.0,,,regulacion,flexible,,
freq_simple,,,,1.0,,,regulacion,libre,,
freq_simple,,,,0.0,,,regulacion,nsnc,,
freq_simple,,,,0.0,,,emocion,curiosidad,,
freq_simple,,,,1.0,,,emocion,entusiasmo,,
freq_simple,,,,3.0,,,emocion,indiferencia,,
freq_simple,,,,0.0,,,emocion,inquietud,,
freq_simple,,,,1.0,,,emocion,miedo,,
freq_simple,,,,5.0,,,facultad,ingenierias,,
freq_simple,,,,5.0,,,carrera,tecnologia_desarrollo_software,,
freq_multi,,,,4.0,,,usos,estudio,,
freq_multi,,,,1.0,,,usos,productividad,,
freq_multi,,,,5.0,,,herramientas,chatgpt,,
freq_multi,,,,1.0,,,herramientas,midjourney,,
freq_multi,,,,4.0,,,sectores,educacion,,
freq_multi,,,,1.0,,,sectores,tecnologia,,
cross_facultad_familiaridad,,,,2.0,ingenierias,,,,algo,
cross_facultad_familiaridad,,,,2.0,ingenierias,,,,bastante,
cross_facultad_familiaridad,,,,1.0,ingenierias,,,,muy,
cross_facultad_confianza,,,,2.0,ingenierias,,,,,regular
cross_facultad_confianza,,,,1.0,ingenierias,,,,,bastante
cross_facultad_confianza,,,,2.0,ingenierias,,,,,total
